qwerty,-94,71,-29,-599,30,-1273
aboba,-124,64,249,-1789,40,-51
pasha,-158,66,-128,-1733,35,-665
Ivan,214,67,189,2410,15,410
2023год,97,64,-112,1516,29,-850
Машина,72,63,4,-1333,35,532
МИРЭА,172,71,-208,373,37,-1396
Новый мир,-54,67,200,1155,31,1225
Ananasik,249,65,-232,-80,27,-1485
Новый,-235,70,24,-1193,30,-1282
88005553535,237,65,26,1463,33,-497
GoodGame,184,75,120,1500,36,-741
one,-8,69,-69,-475,28,1404
two,254,64,214,981,17,1310
three,254,67,157,654,35,1722
four,-21,64,206,1431,20,-849
five,-153,70,-165,-2005,44,451
six,88,63,59,1746,33,805
seven,127,75,194,1983,33,1293

